bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
250,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
251,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
252,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.7,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
253,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.8,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
254,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
255,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.1,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
256,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.11,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
257,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.12,Electricity / water charges,Physical Number should proposed per School per annum,
258,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.13,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
259,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.14,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
260,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.15,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
261,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.16,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
262,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.17,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
263,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.18,Provision of Rent,Physical Number to be proposed per School,
264,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.19,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
265,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,36,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),36.2,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
266,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,37,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),,,,
267,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,37,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),37.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
268,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,37,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),37.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
269,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,37,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),37.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
270,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,37,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),37.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
271,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),,,,
272,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
273,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
274,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
275,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
276,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.5,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
277,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.6,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
278,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.7,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
279,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.8,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
280,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.9,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
281,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.1,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
282,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.11,Electricity / water charges,Physical Number should proposed per School per annum,
283,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.12,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
284,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.13,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
285,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.14,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
286,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.15,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
287,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.16,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
288,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.17,Provision of Rent,Physical Number to be proposed per School,
289,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.18,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
290,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,38,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),38.19,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
291,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),,,,
292,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
293,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
294,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
295,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,41,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),41.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
296,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,42,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),,,,
